order	patch_no	decision	category	sha256	filename	reason
1	7	skip	build/packaging	a7d0652ed1f3ecdf8b04d4f12b372cb4fe3510629be60bceccc0ab5f0d5f7459	0001-Modify-recode-to-allow-IMAP-and-recode-to-be-simulta.patch	build/packaging glue, not a source security/bug backport
2	43	skip	build/packaging	c2ad523e3f596fe5eee7de630013db4c637e00a9713f27d3f49760fa2aceeaf0	0002-Prevent-PEAR-package-from-bringing-in-devel.patch	build/packaging glue, not a source security/bug backport
3	100	skip	build/packaging	61e655a9688d0089c97db00a694c9498fb48cfdfc413a26d1480ae4b409459d7	0003-Modify-standard-mail-extenstion-to-add-X-PHP-Script-.patch	build/packaging glue, not a source security/bug backport
4	101	skip	build/packaging	5450c53b46eb4c81957f4c5194258209cb7425c64f1f0152a91b03b71d494b06	0004-Removed-ZTS-support.patch	build/packaging glue, not a source security/bug backport
5	104	skip	build/packaging	9d871b2dc58e783cca6ad85fb852d8dc088b1e67a05ac3f4af4bdf23275f3fe1	0006-FPM-Ensure-docroot-is-in-the-user-s-homedir.patch	build/packaging glue, not a source security/bug backport
6	105	skip	vendor/sapi	85af8a2318ce3c99427acca5b882c00997aa43c898f0ad47955044a76ec17c33	0007-Chroot-FPM-users-with-noshell-and-jailshell.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
7	106	skip	build/packaging	b64ddda95e2079945d9273ffad39783240ae821db0f28fd2b370ebe669bc15c3	0009-Add-support-for-use-of-the-system-timezone-database.patch	build/packaging glue, not a source security/bug backport
8	200	skip	build/packaging	061e0cd9e9edd6f82711ec0a048e5376ae7116098dacb9f628df696271e92e6d	0008-Patch-epoll.c-per-bug-report-in-upstream.patch	build/packaging glue, not a source security/bug backport
9	201	skip	build/packaging	b48a7e6e95cbd4e69097b5117c864680171dece08ed7ee1d6b3f25215351513a	php-8.2-fix-for-libxml2.13.patch	build/packaging glue, not a source security/bug backport
10	400	skip	build/packaging	77c7df12153ac03f68b33d9f218ebed684e0977d19a4b9cd13ef9f281527a198	0010-0020-PLESK-sig-block-reexec.patch	build/packaging glue, not a source security/bug backport
11	401	skip	build/packaging	2abf7f97932076511f6a57a63e799dbd5cdb04f4136dfb0568ef35d33c55ec8b	0011-0021-PLESK-avoid-child-ignorance.patch	build/packaging glue, not a source security/bug backport
12	402	skip	build/packaging	e40a3f65c713be533957fe152ce0ed9c533d5c73994a8e5c88e6ab68c149c983	0012-0022-PLESK-missed-kill.patch	build/packaging glue, not a source security/bug backport
13	403	skip	build/packaging	585841a10b0c5ed70b76befa291404f88edce16cf0426327d32a8ac3cca67f30	0013-Update-libxml-include-file-references.patch	build/packaging glue, not a source security/bug backport
14	210	skip	vendor/sapi	3fd750969ac7a0d2cf0aa569684f3bad912014196dd13db0d015daae2dde2f32	litespeed-8.0.1-process_lsapi_phpini.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
15	211	skip	vendor/sapi	491ef6f48877d858b0c061b19f6b0785333faee5089bc0eb0abccca85ddfe655	litespeed-8.0.1-userini_homedir.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
16	212	skip	vendor/sapi	2eaaf7625d16ecd79f3866d9a29a1c8a8ec53f973e22a770a3a69d6943cb566e	litespeed-8.0.1-log.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
17	213	skip	vendor/sapi	b19ddaf83c5bb2f1b87822fe94ee7fdf40040446ecbad6cc651aed39a38ad41d	litespeed-8.0.1.use_reject.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
18	215	skip	vendor/sapi	1c900b78ca1bfc3a4333aa1110e2f1dfe0c89c66551bf2e29287d0a110c69e7a	litespeed-8.0.1.avoid_zombies.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
19	216	skip	vendor/sapi	5ed0d8178d2c4172a3fed29c2a31efec1598b971517fc2b0b64f54fe73ce7da7	litespeed-8.0.1.dis_keeplistener.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
20	217	skip	vendor/sapi	5901f255dc1fd6a72dc8a9bd627a7b46c69057efa2b600fb2ee00bbc8d9a0db7	litespeed-8.0.1-graceful_stop.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
21	218	skip	vendor/sapi	796b4d8fded2bb7ac156be2e0a79959019feadf3a4679282eddf26484cc7d48c	litespeed-8.0.1.crash_limit.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
22	219	skip	vendor/sapi	fc6dbda1d4fdf7236778d5c3b9a6343e6ab810a47090e9688794ba9943aa10e0	litespeed-8.0.1-tsrmls.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
23	220	skip	vendor/sapi	2c2f4ee2a9531978d02188e8c433171a87610c7ba87e0dc2a69c0d1f781f85ec	litespeed-8.0.1-cloudlinux.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
24	221	skip	vendor/sapi	cb1f55c15df284b9c991fd2f594334df6c80b68d487db46fb58a9bf8d738ac5a	litespeed-8.0.1.wink_fix.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
25	222	skip	vendor/sapi	a30f0094074c3605b9b204b2f6236c5c68c6a1511737c1a2b9be7bd8c5a8cfea	litespeed-8.0.1-move_override_ini.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
26	1000	skip	vendor/sapi	a34dd390e6867acd556b2cb7f33ae5b7297f04f909a4deb1b7cd8aeb0fad9324	cloudlinux-php-fpm.7.0.dl.ea-php.v4.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
27	1001	skip	build/packaging	26c782b5cdbdeb752b1ad4b99b84e76152129fcea043b937706249bb7bccc599	php-7.3.33-snmp-disable-des.patch	build/packaging glue, not a source security/bug backport
28	1002	keep	forced	5830339a4de270def88ddba1449a5de0fc336908fbe2fd625bddacaef6645c09	php-7.3.33-fix-for-openssl-3.0.x.patch	force-kept via patches-local/include
29	1012	keep	hardened	76e7acd2aa8057f710e90f33c2f5ba8b71ddfd6e6686b14863a49f1c3f21007c	hardened-php-7.2.34-bug73809.patch	
30	1013	keep	hardened	628654b9d2e4256021dbc6fb51facd8a16e554d443f4dcd11e3c163b1aeb23a4	hardened-php-7.2.34-bug77322.patch	
31	1014	keep	hardened	bf4280d348d262042724e4a39da638114b1bad545b318e79208548e162d2a771	hardened-php-7.2.34-bug77423.patch	
32	1015	keep	hardened	55f9817f464a5f61b52b749aa25663af95787e31def529f6dd26c46545822743	hardened-php-7.2.34-bug77961.patch	
33	1016	keep	hardened	3a71ae9017a0d639d9580d0d9771970e2f0399b9baf4c2fc91fd0c54880c552f	hardened-php-7.2.34-bug80366.patch	
34	1017	keep	hardened	e9e6e2313922adbac1ff6448566a31ce9c27c886a02146bea86ae8f434974bbc	hardened-php-7.2.34-bug80411.patch	
35	503	keep	hardened	c2d2b034687dd65c9cf9819f9750761d9b0c9d33dac2959fe8a4032e7d1ceece	hardened-bug80713.patch	
36	504	keep	hardened	913402a789102088868eb328740fec071e65a45d867c9f06f6235e28bdf53a11	hardened-bug80024.patch	
37	505	keep	hardened	cc019868e5ae0a297e8d46530f1be806781aa1f8c02b28d4707c7e56914714fc	hardened-bug70091.patch	
38	506	keep	hardened	99132428d1c119ce73e3525379bf6acd85376fb8a69ded9dcf856d05f64f5179	hardened-bug75776.patch	
39	507	keep	hardened	a92cc9021d1fd47af97f9a837296a72bd4b9fcedde27062065300f0771dd598b	hardened-bug80880.patch	
40	508	keep	hardened	c66ec94249444928e0b0d794b30d6ecc26a1ce323fa147747f25294d16536508	hardened-bug80719.patch	
41	509	keep	hardened	5fccf047e042e9e54a67d393958345ac5044b6c53bbd41c5cc6efccb5484ec41	hardened-bug80838.patch	
42	510	keep	hardened	acaa8046eb2ed4893aa4e48bef2c8d74678b2d10ca74390de86cbe13c2767fc2	hardened-bug80763.patch	
43	511	keep	hardened	c26410f98adf587c629792142962b38b358202851567f0ef7e9a4f8833d7cd80	hardened-bug80783.patch	
44	512	keep	hardened	a706ab75b8610f2bb162d25119274bc30a2c8c40e1390e371416ea99d8738263	hardened-bug80950.patch	
45	513	keep	hardened	0c36f1c38bf661d043d088fd299ce014e3574966613997ba2632bae776713e9f	hardened-bug80889.patch	
46	514	keep	hardened	5537bd687e24926cde71a54aadc786de6f8db7561b7da0ce9b0a9bbcfb14473e	hardened-bug80747.patch	
47	515	keep	hardened	10f643ed7f83a4bcd150e70085446ceb6585c732fd89c7475f805682f59d921d	hardened-bug79812.patch	
48	516	keep	hardened	68441f48811b9166acf0a9bcbfb95c6996be429f711f380b1648e63312fc68e4	hardened-bug75850.patch	
49	517	keep	hardened	79160e964612f8f7f2c521453564e21553e96d6b1551bf594c59eb0fb5bd63ec	hardened-bug51903.patch	
50	518	keep	hardened	734b2326b673107c5b34d11f5c0971f8f785ae14219cda9a4b8ee5e8b3bb6608	hardened-bug78680.patch	
51	519	keep	hardened	e7622a80c8f7d21808b73fe03d11ecfbe2476567d27954efd06ecc481beda3c5	hardened-bug80757.patch	
52	520	keep	hardened	3638d2920025f505d4123b79267ff012e503caf4c70412b019045956487ad2a3	hardened-bug78719.patch	
53	521	keep	hardened	bc8b071e3cf47cd4e2b8ea75f71a60a2d2c089cee4f5130f06d2f3ff85adf87b	hardened-bug74779.patch	
54	522	keep	hardened	d6c4bf7eed7ce504b81753f7d614d9e1c39068d06c1d0f716612a863a44daedf	hardened-bug80915.patch	
55	523	keep	hardened	ada189115e8f1061804f6289127cf5ce4fe071778e6dd913fbe821468db5ba30	hardened-bug53467.patch	
56	524	keep	hardened	6bab60fd006056ee52c3a0ae7fd8bb10ae049df3d36c29e3f80baa8349cf147d	hardened-bug73533.patch	
